leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Tacos Maela,"3440 Shadeland Ave, Indianapolis, IN 46226, USA",8.0 mi,2 hours 59 mins,11.3 mi,18 mins,4.7,11:00AM-8:30PM,n/a,n/a,drive
2,Tacos Maela,"3440 Shadeland Ave, Indianapolis, IN 46226, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",13.4 mi,4 hours 53 mins,16.2 mi,21 mins,4.7,10:30AM-1:00AM,False,False,drive
3,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",6.0 mi,2 hours 11 mins,7.0 mi,16 mins,4.5,5:00PM-12:00AM,False,False,drive
4,FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",The Night Owl Food Truck,"S Meridian St, Indianapolis, IN 46225, USA",4.4 mi,1 hour 37 mins,4.5 mi,13 mins,5.0,8:30PM-2:30AM,n/a,n/a,drive
5,The Night Owl Food Truck,"S Meridian St, Indianapolis, IN 46225, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",1.5 mi,33 mins,2.1 mi,7 mins,-,-,-,-,drive
