leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",9.4 mi,3 hours 31 mins,9.3 mi,15 mins,5.0,10:00AM-11:00PM,n/a,n/a,drive
2,King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",16.1 mi,5 hours 57 mins,17.9 mi,21 mins,4.7,6:00PM-12:00AM,n/a,n/a,drive
3,Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",4.5 mi,1 hour 39 mins,4.5 mi,11 mins,4.4,11:00AM-11:50PM,True,n/a,drive
4,Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",3.7 mi,1 hour 25 mins,3.7 mi,10 mins,4.7,6:00PM-12:00AM,True,n/a,drive
5,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",6.3 mi,2 hours 20 mins,9.0 mi,15 mins,n/a,-,-,-,drive
