leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",9.4 mi,3 hours 31 mins,9.3 mi,15 mins,5.0,10:00AM-11:00PM,n/a,n/a,drive
2,King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",16.1 mi,5 hours 57 mins,17.9 mi,21 mins,4.7,6:00PM-12:00AM,n/a,n/a,drive
3,Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",2.3 mi,52 mins,2.9 mi,6 mins,4.7,6:00PM-12:00AM,True,n/a,drive
4,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",6.6 mi,2 hours 27 mins,9.2 mi,17 mins,4.5,5:00PM-1:00AM,False,False,drive
5,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,16 mins,n/a,-,-,-,drive
