leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",2.8 mi,1 hour 4 mins,3.1 mi,12 mins,4.1,8:00AM-6:00PM,False,False,drive
2,The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, USA",5.2 mi,1 hour 58 mins,5.7 mi,15 mins,5.0,1:59PM-4:59AM,n/a,n/a,drive
3,El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, USA",Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",4.5 mi,1 hour 38 mins,4.5 mi,14 mins,4.7,10:00AM-10:00PM,True,n/a,drive
4,Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",7.3 mi,2 hours 42 mins,10.9 mi,19 mins,4.7,10:30AM-1:00AM,False,False,drive
5,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,14 mins,-,-,-,-,drive
